"ID","label"
452358,41
452359,83
452360,107
452361,99
452362,85
452363,94
452364,118
452365,68
452366,67
452367,45
452368,131
452369,36
452370,87
452371,46
452372,132
452373,113
452374,55
452375,55
452376,79
452377,125
452378,102
452379,179
452380,55
452381,69
452382,115
452383,70
452384,257
452385,135
452386,65
452387,78
452388,104
452389,90
452390,51
452391,82
452392,60
452393,47
452394,114
452395,66
452396,102
452397,61
452398,103
452399,54
452400,39
452401,88
452402,110
452403,49
452404,50
452405,45
452406,100
452407,149
452408,98
452409,41
452410,121
452411,144
452412,54
452413,49
452414,100
452415,87
452416,106
452417,89
452418,80
452419,59
452420,54
452421,115
452422,55
452423,102
452424,80
452425,48
452426,66
452427,82
452428,54
452429,47
452430,111
452431,52
452432,42
452433,73
452434,75
452435,107
452436,85
452437,61
452438,41
452439,66
452440,65
452441,59
452442,80
452443,43
452444,45
452445,70
452446,56
452447,120
452448,46
452449,123
452450,75
452451,28
452452,57
452453,87
452454,112
452455,108
452456,83
452457,60
452458,101
452459,129
452460,328
452461,97
452462,85
452463,66
452464,124
452465,95
452466,88
452467,110
452468,97
452469,134
452470,108
452471,44
452472,98
452473,68
452474,130
452475,59
452476,54
452477,101
452478,154
452479,82
452480,71
452481,94
452482,127
452483,37
452484,64
452485,45
452486,65
452487,74
452488,76
452489,41
452490,90
452491,73
452492,46
452493,54
452494,112
452495,47
452496,55
452497,128
452498,136
452499,70
452500,48
452501,52
452502,67
452503,126
452504,76
452505,67
452506,131
452507,77
452508,33
452509,67
452510,87
452511,64
452512,120
452513,75
452514,214
452515,66
452516,143
452517,81
452518,65
452519,131
452520,82
452521,130
452522,78
452523,110
452524,52
452525,91
452526,125
452527,64
452528,119
452529,69
452530,104
452531,90
452532,45
452533,46
452534,41
452535,84
452536,60
452537,103
452538,53
452539,89
452540,48
452541,104
452542,75
452543,43
452544,52
452545,100
452546,84
452547,106
452548,87
452549,59
452550,72
452551,63
452552,122
452553,105
452554,56
452555,127
452556,42
452557,56
452558,129
452559,38
452560,95
452561,57
452562,128
452563,42
452564,54
452565,76
452566,131
452567,62
452568,59
452569,79
452570,137
452571,91
452572,69
452573,57
452574,110
452575,73
452576,74
452577,77
452578,41
452579,50
452580,73
452581,68
452582,75
452583,106
452584,93
452585,80
452586,36
452587,146
452588,61
452589,42
452590,44
452591,85
452592,40
452593,113
452594,42
452595,88
452596,49
452597,57
452598,85
452599,45
452600,109
452601,97
452602,139
452603,94
452604,76
452605,67
452606,47
452607,97
452608,97
452609,95
452610,79
452611,45
452612,76
452613,108
452614,82
452615,74
452616,113
452617,136
452618,96
452619,97
452620,82
452621,54
452622,34
452623,66
452624,123
452625,81
452626,47
452627,37
452628,83
452629,129
452630,108
452631,137
452632,48
452633,48
452634,88
452635,99
452636,73
452637,44
452638,60
452639,110
452640,81
452641,42
452642,74
452643,74
452644,94
452645,58
452646,69
452647,40
452648,62
452649,138
452650,86
452651,76
452652,98
452653,103
452654,67
452655,118
452656,50
452657,34
452658,49
452659,106
452660,75
452661,103
452662,37
452663,76
452664,30
452665,57
452666,61
452667,51
452668,55
452669,67
452670,48
452671,48
452672,40
452673,100
452674,70
452675,128
452676,81
452677,66
452678,59
452679,69
452680,83
452681,100
452682,67
452683,57
452684,61
452685,78
452686,54
452687,71
452688,107
452689,64
452690,92
452691,31
452692,62
452693,109
452694,84
452695,29
452696,110
452697,98
452698,100
452699,103
452700,141
452701,42
452702,81
452703,80
452704,62
452705,80
452706,60
452707,94
452708,35
452709,41
452710,68
452711,52
452712,140
452713,87
452714,124
452715,130
452716,47
452717,95
452718,49
452719,54
452720,139
452721,42
452722,75
452723,124
452724,59
452725,79
452726,56
452727,119
452728,46
452729,90
452730,55
452731,39
452732,63
452733,110
452734,95
452735,167
452736,54
452737,80
452738,71
452739,89
452740,56
452741,88
452742,142
452743,47
452744,44
452745,55
452746,104
452747,117
452748,72
452749,74
452750,95
452751,77
452752,117
452753,49
452754,123
452755,36
452756,91
452757,61
452758,39
452759,63
452760,43
452761,98
452762,133
452763,57
452764,75
452765,136
452766,59
452767,38
452768,95
452769,116
452770,39
452771,79
452772,104
452773,95
452774,70
452775,56
452776,85
452777,47
452778,87
452779,57
452780,66
452781,86
452782,441
452783,44
452784,53
452785,132
452786,61
452787,46
452788,95
452789,67
452790,90
452791,47
452792,66
452793,57
452794,53
452795,46
452796,137
452797,46
452798,59
452799,60
452800,49
452801,72
452802,59
452803,82
452804,66
452805,37
452806,116
452807,44
452808,98
452809,83
452810,120
452811,82
452812,78
452813,63
452814,42
452815,77
452816,51
452817,41
452818,28
452819,102
452820,49
452821,41
452822,34
452823,88
452824,64
452825,53
452826,35
452827,50
452828,108
452829,91
452830,84
452831,51
452832,69
452833,63
452834,55
452835,41
452836,76
452837,100
452838,100
452839,48
452840,106
452841,55
452842,131
452843,41
452844,66
452845,129
452846,66
452847,79
452848,106
452849,68
452850,36
452851,53
452852,64
452853,82
452854,66
452855,79
452856,85
452857,129
452858,95
452859,110
452860,86
452861,76
452862,81
452863,48
452864,116
452865,78
452866,134
452867,77
452868,64
452869,51
452870,34
452871,57
452872,59
452873,58
452874,48
452875,57
452876,91
452877,35
452878,109
452879,126
452880,144
452881,123
452882,48
452883,117
452884,58
452885,77
452886,68
452887,48
452888,39
452889,57
452890,50
452891,59
452892,49
452893,100
452894,95
452895,69
452896,106
452897,134
452898,87
452899,65
452900,102
452901,114
452902,87
452903,84
452904,98
452905,50
452906,128
452907,147
452908,104
452909,98
452910,320
452911,114
452912,35
452913,82
452914,62
452915,127
452916,83
452917,90
452918,56
452919,74
452920,129
452921,81
452922,109
452923,58
452924,72
452925,122
452926,53
452927,100
452928,57
452929,65
452930,45
452931,52
452932,172
452933,71
452934,151
452935,124
452936,85
452937,92
452938,30
452939,233
452940,51
452941,95
452942,53
452943,63
452944,104
452945,44
452946,55
452947,36
452948,95
452949,60
452950,75
452951,52
452952,142
452953,88
452954,93
452955,98
452956,120
452957,91
452958,40
452959,87
452960,44
452961,64
452962,67
452963,121
452964,82
452965,49
452966,111
452967,48
452968,104
452969,56
452970,64
452971,79
452972,82
452973,61
452974,68
452975,43
452976,133
452977,76
452978,34
452979,107
452980,49
452981,142
452982,54
452983,57
452984,31
452985,74
452986,109
452987,87
452988,49
452989,77
452990,97
452991,49
452992,56
452993,76
452994,101
452995,78
452996,59
452997,57
452998,87
452999,59
453000,121
453001,124
453002,50
453003,87
453004,62
453005,61
453006,49
453007,40
453008,59
453009,137
453010,60
453011,80
453012,107
453013,58
453014,58
453015,79
453016,51
453017,127
453018,117
453019,62
453020,101
453021,70
453022,72
453023,42
453024,55
453025,106
453026,60
453027,45
453028,43
453029,113
453030,70
453031,103
453032,41
453033,60
453034,109
453035,83
453036,45
453037,92
453038,47
453039,70
453040,142
453041,137
453042,57
453043,128
453044,97
453045,142
453046,234
453047,95
453048,40
453049,154
453050,93
453051,35
453052,53
453053,33
453054,42
453055,68
453056,26
453057,79
453058,87
453059,82
453060,79
