HSCode,value,country
5,0,AFGHANISTAN TIS
7,12.38,AFGHANISTAN TIS
8,268.6,AFGHANISTAN TIS
9,35.48,AFGHANISTAN TIS
11,,AFGHANISTAN TIS
12,8.32,AFGHANISTAN TIS
13,108.78,AFGHANISTAN TIS
20,0.65,AFGHANISTAN TIS
25,0.05,AFGHANISTAN TIS
27,0,AFGHANISTAN TIS
39,,AFGHANISTAN TIS
41,0,AFGHANISTAN TIS
49,,AFGHANISTAN TIS
51,0.17,AFGHANISTAN TIS
52,0.01,AFGHANISTAN TIS
57,0.02,AFGHANISTAN TIS
68,0.01,AFGHANISTAN TIS
71,0.01,AFGHANISTAN TIS
72,0.02,AFGHANISTAN TIS
74,0.36,AFGHANISTAN TIS
81,0,AFGHANISTAN TIS
82,,AFGHANISTAN TIS
84,0,AFGHANISTAN TIS
85,0.56,AFGHANISTAN TIS
90,0.02,AFGHANISTAN TIS
96,0,AFGHANISTAN TIS
97,,AFGHANISTAN TIS
98,,AFGHANISTAN TIS
99,,AFGHANISTAN TIS
12,0.54,ALBANIA
18,0.07,ALBANIA
25,0.38,ALBANIA
26,0.07,ALBANIA
33,,ALBANIA
39,0,ALBANIA
40,0.01,ALBANIA
41,0.01,ALBANIA
48,0,ALBANIA
64,0.05,ALBANIA
70,0,ALBANIA
72,20.99,ALBANIA
73,0.23,ALBANIA
76,,ALBANIA
83,0,ALBANIA
84,0.23,ALBANIA
85,0,ALBANIA
87,0.04,ALBANIA
90,0,ALBANIA
94,0,ALBANIA
99,,ALBANIA
7,0.12,ALGERIA
8,1.63,ALGERIA
12,0.07,ALGERIA
25,18.4,ALGERIA
26,0.19,ALGERIA
27,"1,559.37",ALGERIA
28,,ALGERIA
29,9.48,ALGERIA
30,,ALGERIA
31,83.02,ALGERIA
33,,ALGERIA
38,,ALGERIA
39,0,ALGERIA
40,0,ALGERIA
41,0.84,ALGERIA
45,0.69,ALGERIA
47,4.62,ALGERIA
48,,ALGERIA
49,,ALGERIA
51,1.29,ALGERIA
72,8.12,ALGERIA
73,,ALGERIA
78,0.25,ALGERIA
81,,ALGERIA
84,8.74,ALGERIA
85,0,ALGERIA
86,0.01,ALGERIA
87,0,ALGERIA
90,0.02,ALGERIA
98,0,ALGERIA
99,0.08,ALGERIA
39,,AMERI SAMOA
48,0,AMERI SAMOA
59,0,AMERI SAMOA
63,,AMERI SAMOA
71,,AMERI SAMOA
76,0,AMERI SAMOA
84,,AMERI SAMOA
39,0.03,ANDORRA
73,0,ANDORRA
84,0,ANDORRA
85,0,ANDORRA
90,0,ANDORRA
25,1.23,ANGOLA
26,1.87,ANGOLA
27,"4,012",ANGOLA
34,,ANGOLA
39,0.25,ANGOLA
40,0,ANGOLA
41,,ANGOLA
44,0.34,ANGOLA
47,0.39,ANGOLA
69,,ANGOLA
71,3.93,ANGOLA
72,0.68,ANGOLA
73,0.65,ANGOLA
74,1.33,ANGOLA
76,2.26,ANGOLA
78,,ANGOLA
79,0.13,ANGOLA
82,0,ANGOLA
84,0.74,ANGOLA
85,1.64,ANGOLA
90,0.04,ANGOLA
99,,ANGOLA
54,0,ANGUILLA
84,0.02,ANGUILLA
85,0.17,ANGUILLA
22,,ANTARTICA
32,0,ANTARTICA
39,0,ANTARTICA
48,0.03,ANTARTICA
51,,ANTARTICA
73,,ANTARTICA
84,,ANTARTICA
85,,ANTARTICA
94,0,ANTARTICA
27,,ANTIGUA
78,0.03,ANTIGUA
84,,ANTIGUA
85,0.12,ANTIGUA
1,0.02,ARGENTINA
3,0.2,ARGENTINA
4,0.15,ARGENTINA
6,0.07,ARGENTINA
7,6.84,ARGENTINA
8,1.22,ARGENTINA
9,1.9,ARGENTINA
10,35.57,ARGENTINA
11,0.01,ARGENTINA
12,0.06,ARGENTINA
13,0,ARGENTINA
15,"1,720.46",ARGENTINA
18,0.07,ARGENTINA
20,1.52,ARGENTINA
22,0.27,ARGENTINA
23,23.19,ARGENTINA
24,,ARGENTINA
25,0.09,ARGENTINA
26,0.09,ARGENTINA
27,47.16,ARGENTINA
28,2.47,ARGENTINA
29,18.17,ARGENTINA
30,0.14,ARGENTINA
31,0.57,ARGENTINA
32,4.37,ARGENTINA
33,0.21,ARGENTINA
34,1.59,ARGENTINA
35,0.31,ARGENTINA
38,14.77,ARGENTINA
39,4.44,ARGENTINA
40,2.98,ARGENTINA
41,38.47,ARGENTINA
42,0.01,ARGENTINA
47,0.04,ARGENTINA
48,0.01,ARGENTINA
49,0,ARGENTINA
51,1.63,ARGENTINA
52,0,ARGENTINA
54,0.02,ARGENTINA
55,0.02,ARGENTINA
57,0.02,ARGENTINA
70,0.01,ARGENTINA
71,0,ARGENTINA
72,1.16,ARGENTINA
73,4.39,ARGENTINA
74,0.01,ARGENTINA
76,0.08,ARGENTINA
78,0.06,ARGENTINA
79,0.1,ARGENTINA
81,0.27,ARGENTINA
82,0.02,ARGENTINA
84,6.47,ARGENTINA
85,0.36,ARGENTINA
86,0.04,ARGENTINA
87,6,ARGENTINA
90,6.86,ARGENTINA
93,,ARGENTINA
95,0.02,ARGENTINA
97,,ARGENTINA
99,,ARGENTINA
17,,ARMENIA
22,,ARMENIA
26,,ARMENIA
32,,ARMENIA
35,0,ARMENIA
39,0.02,ARMENIA
41,0.14,ARMENIA
49,0,ARMENIA
71,0.07,ARMENIA
72,0.27,ARMENIA
73,,ARMENIA
74,0.09,ARMENIA
76,0.16,ARMENIA
79,,ARMENIA
82,0,ARMENIA
84,0.08,ARMENIA
85,0,ARMENIA
90,0.07,ARMENIA
24,0.07,ARUBA
49,,ARUBA
76,0.09,ARUBA
79,0.06,ARUBA
85,0.33,ARUBA
1,0.28,AUSTRALIA
2,0.28,AUSTRALIA
4,0.6,AUSTRALIA
5,0.86,AUSTRALIA
6,0.01,AUSTRALIA
7,24.06,AUSTRALIA
8,107.71,AUSTRALIA
9,0.13,AUSTRALIA
10,6.07,AUSTRALIA
11,16.84,AUSTRALIA
12,10.65,AUSTRALIA
13,0.1,AUSTRALIA
15,0.42,AUSTRALIA
17,0.06,AUSTRALIA
18,0.04,AUSTRALIA
19,0.26,AUSTRALIA
20,2.14,AUSTRALIA
21,0.81,AUSTRALIA
22,6.57,AUSTRALIA
23,1.45,AUSTRALIA
25,29.06,AUSTRALIA
26,731.6,AUSTRALIA
27,"9,664.58",AUSTRALIA
28,664.48,AUSTRALIA
29,4.2,AUSTRALIA
30,14.53,AUSTRALIA
31,0.2,AUSTRALIA
32,95.3,AUSTRALIA
33,4.35,AUSTRALIA
34,6.03,AUSTRALIA
35,2.57,AUSTRALIA
37,0.01,AUSTRALIA
38,7.64,AUSTRALIA
39,18.57,AUSTRALIA
40,7.06,AUSTRALIA
41,5.58,AUSTRALIA
42,0.36,AUSTRALIA
44,1.43,AUSTRALIA
46,0.02,AUSTRALIA
47,29.73,AUSTRALIA
48,46.55,AUSTRALIA
49,0.95,AUSTRALIA
50,0.03,AUSTRALIA
51,202.19,AUSTRALIA
52,58.99,AUSTRALIA
53,0,AUSTRALIA
54,0.42,AUSTRALIA
55,0.22,AUSTRALIA
56,1.21,AUSTRALIA
57,0.16,AUSTRALIA
58,0.17,AUSTRALIA
59,0.47,AUSTRALIA
60,0.34,AUSTRALIA
61,0.03,AUSTRALIA
62,0.18,AUSTRALIA
63,1.37,AUSTRALIA
64,0.23,AUSTRALIA
65,0.02,AUSTRALIA
66,0,AUSTRALIA
67,0.01,AUSTRALIA
68,0.09,AUSTRALIA
69,0.56,AUSTRALIA
70,1.94,AUSTRALIA
71,579.51,AUSTRALIA
72,117.84,AUSTRALIA
73,9.23,AUSTRALIA
74,27.74,AUSTRALIA
75,40.13,AUSTRALIA
76,193.09,AUSTRALIA
78,110.74,AUSTRALIA
