country,population,per_capita_income,life_expectancy,energy_use_per_person,economic_growth,democratic_score,CO2_emission_per_person
Afghanistan,33700000,1750,57.9,680,-6.38,,0.299
Albania,2920000,11000,77.6,1070,8.32,9,1.96
Algeria,39900000,13700,77.3,470,0.988,2,3.72
Andorra,78000,46600,82.5,1600,2.8,-2,5.83
Angola,27900000,6230,64,1850,-0.35,8,1.29
Antigua and Barbuda,99900,20100,77.2,973,2.73,5,5.38
Argentina,43400000,19100,76.5,5870,1.84,10,4.75
Armenia,2920000,8180,75.4,4020,0.556,10,1.9
Australia,23800000,43800,82.6,1410,-0.0179,-7,15.4
Austria,8680000,44100,81.4,2070,2.53,-8,6.8
Azerbaijan,9620000,16700,71.8,11200,1.7,5,3.94
Bahamas,387000,21700,73.6,173,1.92,-7,6.32
Bahrain,1370000,44500,76.8,1450,2.36,8,23.4
Bangladesh,161000000,3130,72.4,2920,1.79,7,0.459
Barbados,284000,15400,76.6,5340,4.55,3,4.49
Belarus,9490000,17200,73.3,597,1.27,7,6.69
Belgium,11300000,41700,80.9,379,15.2,,8.32
Belize,359000,8060,71.9,355,3.29,8,1.41
Benin,10600000,1990,63.9,561,0.618,8,0.614
Bhutan,787000,7740,73.8,1410,-0.176,9,1.29
Bolivia,10700000,6530,73,1040,0.783,,1.93
Bosnia and Herzegovina,3540000,10900,77.4,1230,2.58,6,6.23
Botswana,2210000,15400,64.6,8610,-1.87,2,3.24
Brazil,206000000,14700,75.2,2670,2.63,-4,2.59
Brunei,418000,74600,76.9,254,1.73,10,22.1
Bulgaria,7180000,17000,75,345,2.75,10,5.87
Burkina Faso,18100000,1550,60.3,8210,4.89,-1,0.162
Burundi,10200000,749,60,212,1.49,-2,0.0445
Cambodia,15500000,3290,68.3,1860,0.0783,10,0.438
Cameroon,22800000,2990,59.7,1630,3.33,-7,0.315
Canada,35900000,43000,81.7,638,8.84,7,15.1
Cape Verde,533000,5920,73.4,63.9,0.857,9,0.933
Central African Republic,4550000,626,49.7,307,-3.65,5,0.0666
Chad,14000000,2050,59.2,317,-2.49,-4,0.0538
Chile,17800000,22500,80.1,1030,-3.86,10,4.69
China,1400000000,13600,76.3,533,2.21,,7.4
Colombia,48200000,13000,78,2270,-0.305,9,1.76
Comoros,777000,1410,67.3,897,3.92,-7,0.203
"Congo, Dem. Rep.",76200000,750,60.9,2290,2.42,10,0.0634
"Congo, Rep.",5000000,5540,62.6,4470,3.8,8,0.635
Costa Rica,4810000,14900,80.9,3620,2.1,10,1.63
Cote d'Ivoire,23100000,3250,59.2,177,2.14,2,0.49
Croatia,4240000,20600,77.3,606,2.93,8,3.96
Cuba,11500000,20000,78.9,766,0.694,5,3.05
Cyprus,1160000,30400,80.5,747,3.74,-2,5.26
Czech Republic,10600000,30400,78.9,875,-0.3,8,9.1
Denmark,5690000,45500,80.7,736,2.87,-5,5.91
Djibouti,927000,3140,66.1,2120,1.46,-7,0.792
Dominica,73200,10100,71.7,173,22.2,9,1.86
Dominican Republic,10500000,13400,75.5,4240,0.687,1,2.07
Ecuador,16100000,10800,77.9,484,4.76,-4,2.76
Egypt,93800000,10100,71.9,628,1.48,10,2.2
El Salvador,6310000,7850,75,6970,0.517,9,1
Equatorial Guinea,1180000,27200,65.2,4120,3.54,3,4.73
Eritrea,4850000,1240,63.4,2530,1.92,-5,0.147
Estonia,1320000,27300,77.2,86.4,-3,6,14.8
Ethiopia,99900000,1530,65.2,819,0.729,10,0.119
Fiji,892000,8760,65.5,3990,4.31,8,1.32
Finland,5480000,39000,81.5,276,1.29,10,8.66
France,64500000,37800,82.2,2730,1.89,8,4.72
Gabon,1930000,16800,66,782,2.84,5,2.77
Gambia,1980000,1590,67,621,3.26,6,0.268
Georgia,3950000,9030,73.7,65.7,0.814,6,2.25
Germany,81700000,43800,80.8,669,2.73,,8.83
Ghana,27600000,3930,65.4,385,0.746,,0.537
Greece,11200000,24100,81,608,,7,5.98
Grenada,107000,12700,71.4,2660,-0.167,10,2.28
Guatemala,16300000,7290,72.5,14700,3.15,9,1.15
Guinea,12100000,1180,60,487,2.5,8,0.207
Guinea-Bissau,1770000,1420,58.2,786,4.46,-7,0.157
Guyana,769000,7060,67,2650,1.74,3,2.63
Haiti,10700000,1650,63.9,894,2.21,10,0.271
Holy See,803,4310,72.5,3420,-2.91,10,1.08
Honduras,8960000,24800,75.7,2900,7.06,10,4.29
Hungary,9780000,42700,82.2,3150,1.42,9,6.04
Iceland,330000,5750,68.2,1510,1.59,10,1.73
India,1310000000,10400,71.4,4010,-0.339,-3,1.82
Indonesia,258000000,16000,75.8,1160,0.727,-6,8.28
Iran,79400000,14900,67.6,4270,0.929,8,4.81
Iraq,36100000,60900,81.1,448,1.55,-7,7.27
Ireland,4700000,32000,82,114,-0.322,7,8.13
Israel,8060000,34200,82.3,10500,1.93,-7,5.38
Italy,59500000,8110,74.9,561,-1.71,8,2.59
Jamaica,2870000,37800,83.8,2180,0.641,7,9.47
Japan,128000000,8490,76.8,1030,4.55,8,3
Jordan,9160000,23500,71.6,9.58,5.99,6,14.2
Kazakhstan,17700000,2840,66.3,2800,3.96,,0.31
Kenya,47200000,1870,61.6,2930,4.6,10,0.564
Kiribati,112000,69300,79.8,8770,3.84,9,25.2
Kuwait,3940000,3240,71.1,1460,3.33,,1.66
