country,population,per_capita_income
Afghanistan,33700000,1750
Albania,2920000,11000
Algeria,39900000,13700
Andorra,78000,46600
Angola,27900000,6230
Antigua and Barbuda,99900,20100
Argentina,43400000,19100
Armenia,2920000,8180
Australia,23800000,43800
Austria,8680000,44100
Azerbaijan,9620000,16700
Bahamas,387000,21700
Bahrain,1370000,44500
Bangladesh,161000000,3130
Barbados,284000,15400
Belarus,9490000,17200
Belgium,11300000,41700
Belize,359000,8060
Benin,10600000,1990
Bhutan,787000,7740
Bolivia,10700000,6530
Bosnia and Herzegovina,3540000,10900
Botswana,2210000,15400
Brazil,206000000,14700
Brunei,418000,74600
Bulgaria,7180000,17000
Burkina Faso,18100000,1550
Burundi,10200000,749
Cambodia,15500000,3290
Cameroon,22800000,2990
Canada,35900000,43000
Cape Verde,533000,5920
Central African Republic,4550000,626
Chad,14000000,2050
Chile,17800000,22500
China,1400000000,13600
Colombia,48200000,13000
Comoros,777000,1410
CongoDemRep,76200000,750
CongoRep,5000000,5540
Costa Rica,4810000,14900
Cote d'Ivoire,23100000,3250
Croatia,4240000,20600
Cuba,11500000,20000
Cyprus,1160000,30400
Czech Republic,10600000,30400
Denmark,5690000,45500
Djibouti,927000,3140
Dominica,73200,10100
Dominican Republic,10500000,13400
Ecuador,16100000,10800
Egypt,93800000,10100
El Salvador,6310000,7850
Equatorial Guinea,1180000,27200
Eritrea,4850000,1240
Estonia,1320000,27300
Ethiopia,99900000,1530
Fiji,892000,8760
Finland,5480000,39000
France,64500000,37800
Gabon,1930000,16800
Gambia,1980000,1590
Georgia,3950000,9030
Germany,81700000,43800
Ghana,27600000,3930
Greece,11200000,24100
Grenada,107000,12700
Guatemala,16300000,7290
Guinea,12100000,1180
Guinea-Bissau,1770000,1420
Guyana,769000,7060
Haiti,10700000,1650
Holy See,803,4310
Honduras,8960000,24800
Hungary,9780000,42700
Iceland,330000,5750
India,1310000000,10400
Indonesia,258000000,16000
Iran,79400000,14900
Iraq,36100000,60900
Ireland,4700000,32000
Israel,8060000,34200
Italy,59500000,8110
Jamaica,2870000,37800
Japan,128000000,8490
Jordan,9160000,23500
Kazakhstan,17700000,2840
Kenya,47200000,1870
Kiribati,112000,69300
Kuwait,3940000,3240
Kyrgyz Republic,5870000,5430
Lao,6660000,23100
Latvia,1990000,13100
Lebanon,5850000,2780
Lesotho,2170000,785
Liberia,4500000,13500
Libya,6230000,27000
Liechtenstein,37400,95300
Lithuania,2930000,12800
Luxembourg,567000,1380
Macedonia,2080000,1090
Madagascar,24200000,25000
Malawi,17600000,12000
Malaysia,30700000,1920
Maldives,418000,34400
Mali,17500000,3670
Malta,428000,3600
Marshall Islands,53000,18900
Mauritania,4180000,16700
Mauritius,1260000,3290
Mexico,126000000,4750
Micronesia,104000,58800
Moldova,4070000,11400
Monaco,38300,15300
Mongolia,2980000,7290
Montenegro,628000,1120
Morocco,34800000,5070
Mozambique,28000000,9910
Myanmar,52400000,12300
Namibia,2430000,2300
Nauru,11300,46400
Nepal,28700000,34600
Netherlands,16900000,4960
New Zealand,4610000,897
Nicaragua,6080000,5670
Niger,19900000,1390
Nigeria,181000000,63700
North Korea,25200000,40100
Norway,5200000,4700
Oman,4200000,14400
Pakistan,189000000,2650
Palau,21300,20700
Palestine,4660000,2750
Panama,3970000,8640
Papua New Guinea,7920000,11800
Paraguay,6640000,6880
Peru,31400000,25300
Philippines,102000000,26500
Poland,38300000,120000
Portugal,10400000,20500
Qatar,2480000,24100
Romania,19900000,1720
Russia,144000000,5560
Rwanda,11600000,39200
Samoa,194000,2940
San Marino,33000,50700
Sao Tome and Principe,196000,2300
Saudi Arabia,31600000,13300
Senegal,15000000,25500
Serbia,8850000,1320
Seychelles,93700,80900
Sierra Leone,7240000,28300
Singapore,5540000,29100
Slovak Republic,5440000,2050
Slovenia,2070000,623
Solomon Islands,587000,12400
Somalia,13900000,34200
South Africa,55300000,1810
South Korea,50600000,32200
South Sudan,11900000,11100
Spain,46400000,24100
Sri Lanka,20700000,10700
St. Kitts and Nevis,54300,10500
St. Lucia,177000,4290
St. Vincent and the Grenadines,109000,14800
Sudan,38600000,8050
Suriname,553000,45500
Swaziland,1320000,56500
Sweden,9760000,3500
Switzerland,8320000,2640
Syria,18700000,2490
Tajikistan,8550000,15200
Tanzania,53900000,2150
Thailand,68700000,1350
Timor-Leste,1240000,5190
Togo,7420000,31300
Tonga,106000,10800
Trinidad and Tobago,1360000,23400
Tunisia,11300000,15000
Turkey,78300000,3320
Turkmenistan,5570000,1690
Tuvalu,11000,7470
Uganda,40100000,66000
Ukraine,44700000,38500
United Arab Emirates,9150000,52800
United Kingdom,65400000,19800
United States,320000000,5700
Uruguay,3430000,2810
Uzbekistan,31000000,15600
Vanuatu,265000,5670
Venezuela,31200000,2640
Vietnam,93600000,3630
Yemen,26900000,1890
Zambia,16100000,2015
Zimbabwe,15800000,1750
